"0xcc5e88","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x10","14","3","0xe","0x3","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x17","0x28","0x3","0x8","14","4","0xe","0x4","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x18","0x28","0x3","0x8","14","4","0xd","0x4","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x4","0xcd","0x51","0x0","0xa","14","3","0xd","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x8e","0x39","0x0","0x34","0","7","0x3","0x7","0x20","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x8","0x90","0x39","0x8e","0x15","0","8","0x2","0x8","0x1f","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x9","0x1d","0x32","0x3","0x8","0","7","0x2","0x7","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x92","0xa","0x8e","0xd","6","0","0x5","0x4","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xc","0x91","0x18","0x8e","0xd","8","7","0x8","0x7","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xd","0x8f","0x39","0x8e","0xd","13","8","0xd","0x8","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xe","0x90","0x39","0x8e","0x15","14","3","0xc","0x2","0x1f","0x0","0x0","0x0","0x0","0x4","0x1","0x0"
"0xf","0x92","0xa","0x8e","0xd","14","4","0xe","0x5","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x10","0x92","0xa","0x8e","0xd","12","0","0xb","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x11","0x91","0x18","0x8e","0xd","12","0","0xb","0x3","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x12","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0xd","0x18","0x3","0x10","3","6","0x3","0x7","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
