"0xcc7840","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x8","1","2","0x1","0x2","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x17","0x28","0x3","0x8","1","1","0x1","0x1","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x2","0x18","0x28","0x3","0x8","2","2","0x2","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x1d","0x32","0x3","0x8","1","3","0x1","0x3","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0xd","0x18","0x3","0x10","2","1","0x2","0x1","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x23","0x3c","0x3","0x10","3","3","0x3","0x3","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x26","0x41","0x3","0x8","3","2","0x3","0x2","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0xcd","0x51","0x0","0xa","0","2","0x0","0x2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x3","0x2","0x0","0x8","4","3","0x4","0x3","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xa","0x17","0x28","0x3","0x8","1","1","0x1","0x1","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xb","0x18","0x28","0x3","0x8","1","2","0x1","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1d","0x32","0x3","0x8","2","2","0x2","0x2","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0xd","0x18","0x3","0x10","2","3","0x2","0x3","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x8","0x12","0x3","0x18","3","2","0x3","0x2","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xf","0x11","0x1d","0x3","0x8","3","4","0x3","0x4","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x13","0x20","0x3","0x8","4","1","0x4","0x1","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x1c","0x2e","0x3","0x38","4","5","0x4","0x5","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x23","0x3c","0x3","0x10","5","2","0x5","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x10","0x1c","0x3","0x18","5","4","0x5","0x4","0x3e","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x26","0x41","0x3","0x8","6","1","0x6","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x2c","0x16","0x3","0x8","6","3","0x6","0x3","0x1f","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x3","0x2","0x0","0x8","4","3","0x4","0x3","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x18","0x17","0x28","0x3","0x8","1","1","0x1","0x1","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x19","0x18","0x28","0x3","0x8","1","2","0x1","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x1d","0x32","0x3","0x8","2","2","0x2","0x2","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0xd","0x18","0x3","0x10","2","3","0x2","0x3","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x8","0x12","0x3","0x18","3","2","0x3","0x2","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x11","0x1d","0x3","0x8","3","4","0x3","0x4","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x13","0x20","0x3","0x8","4","1","0x4","0x1","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x1c","0x2e","0x3","0x38","4","5","0x4","0x5","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x20","0x23","0x3c","0x3","0x10","5","2","0x5","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x10","0x1c","0x3","0x18","5","4","0x5","0x4","0x3e","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x26","0x41","0x3","0x8","6","1","0x6","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x23","0x2c","0x16","0x3","0x8","6","3","0x6","0x3","0x1f","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x24","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0xc5","0x16","0x0","0x2c","2","16","0x2","0x10","0x17","0x1c","0x0","0x0","0x3","0x3","0x9","0x20"
"0x26","0xc6","0x39","0xc5","0x15","1","9","0x1","0x9","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x27","0xc9","0x38","0xc5","0x1d","14","3","0xe","0x3","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x28","0xcc","0x20","0xc5","0xd","15","2","0xf","0x2","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x29","0xcb","0x24","0xc5","0x1d","15","14","0xf","0xe","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2a","0xc8","0x18","0xc5","0x1d","14","8","0xe","0x8","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2b","0xc8","0x18","0xc5","0x1d","7","13","0x7","0xd","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
