"0xcc6300","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x8","4","2","0x4","0x2","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x17","0x28","0x3","0x8","4","1","0x4","0x1","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x2","0x18","0x28","0x3","0x8","5","1","0x5","0x1","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x1d","0x32","0x3","0x8","3","1","0x3","0x1","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0xd","0x18","0x3","0x10","6","0","0x6","0x0","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0xcd","0x51","0x0","0xa","4","0","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x8","0x12","0x3","0x18","3","6","0x3","0x8","0x1f","0x28","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x99","0x39","0x0","0x4c","14","3","0xd","0x3","0x20","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0xa","0x9b","0x39","0x99","0x15","14","3","0xc","0x2","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xb","0xdf","0x39","0x99","0xd","14","3","0xc","0x4","0x1f","0x1","0x0","0x0","0x0","0x3","0x1","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0xa3","0x18","0x99","0xd","5","0","0x8","0x2","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xe","0xa3","0x18","0x99","0xd","14","3","0xe","0x2","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0xf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x9c","0xa","0x99","0x15","9","0","0x8","0x2","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x11","0x9c","0xa","0x99","0x15","14","7","0xc","0x7","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x12","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x13","0x20","0x0","0xa","10","6","0x9","0x5","0x37","0x0","0x0","0x0","0x3","0x3","0x2","0x0"
"0x14","0x11","0x1d","0x0","0xa","10","6","0x8","0x6","0x4a","0x6b","0x0","0x0","0x3","0x3","0x2","0x0"
"0x15","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
