"0xcc9164","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x29","20","2","0x14","0x2","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x1a","0x2a","0x0","0x19","18","1","0x12","0x1","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x19","0x28","0x0","0x29","20","1","0x14","0x1","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x3","0xe","0x19","0x0","0x31","19","2","0x13","0x2","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x8","0x12","0x0","0x29","18","3","0x12","0x3","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x9","0x12","0x0","0x29","20","3","0x14","0x3","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x3","0x0","0x21","21","4","0x15","0x4","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0x7","0xb","0x14","0x0","0x49","22","4","0x16","0x4","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x23","0x3c","0x0","0x19","21","5","0x15","0x5","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x11","0x1d","0x0","0x19","23","5","0x17","0x5","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x6","0xe","0x0","0x21","22","6","0x16","0x6","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x45","0x28","0x0","0x74","3","7","0x3","0x7","0x17","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0xd","0x6a","0xe","0x45","0x1d","3","4","0x3","0x4","0x3","0x6b","0x0","0x0","0x0","0x3","0x0","0x0"
"0xe","0x6a","0x18","0x45","0x1d","12","8","0xc","0x8","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x6a","0x28","0x45","0xd","26","4","0x1a","0x4","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x6a","0x28","0x45","0x1d","4","6","0x4","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
