"0xcd0884","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x58","11","2","0xb","0x2","0x9","0x3","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x16","0x24","0x0","0x58","9","1","0x9","0x1","0x44","0x46","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2d","0x2","0x0","0x50","11","1","0xb","0x1","0xa","0x1","0xe","0x6b","0x0","0x0","0x0","0x0"
"0x3","0xb","0x14","0x0","0x48","12","1","0xc","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0xe","0x19","0x0","0x70","9","2","0x9","0x2","0x2c","0x2d","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x3","0x0","0x50","10","2","0xa","0x2","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x6","0x30","0x28","0x0","0x68","13","2","0xd","0x2","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x1b","0x2c","0x0","0x40","10","3","0xa","0x3","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x8","0x31","0x32","0x0","0x50","10","4","0xa","0x4","0x14","0x1c","0x16","0x6b","0x0","0x0","0x0","0x0"
"0x9","0x23","0x3c","0x0","0x40","11","4","0xb","0x4","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x25","0x40","0x0","0x18","8","5","0x8","0x5","0x6b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x6","0xe","0x0","0x21","11","5","0xb","0x5","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x8","0x12","0x0","0x29","13","5","0xd","0x5","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x9","0x12","0x0","0x29","9","6","0x9","0x6","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xe","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x1","0x1","0x0","0x58","11","2","0xb","0x2","0x9","0x3","0x0","0x0","0x0","0x0","0x0","0x0"
