"0xcc6940","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x8","3","0","0x1","0x4","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0xcd","0x51","0x0","0xa","3","0","0x2","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x17","0x28","0x3","0x8","3","0","0x0","0x3","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3","0x18","0x28","0x3","0x8","3","0","0x1","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x4","0x1d","0x32","0x3","0x8","3","0","0x2","0x1","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0xd","0x18","0x3","0x8","3","0","0x0","0x1","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x23","0x3c","0x3","0x8","3","0","0x1","0x0","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x26","0x41","0x3","0x18","4","1","0x4","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0xab","0x24","0xa6","0xd","15","2","0x5","0x5","0x44","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0xb","0xa9","0x18","0xa6","0xd","15","2","0x7","0x3","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x3","0x2","0x0","0x8","3","4","0x3","0x4","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xe","0x13","0x20","0x3","0x8","1","1","0x1","0x1","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x17","0x28","0x3","0x8","2","2","0x2","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x10","0x18","0x28","0x3","0x8","4","2","0x4","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x11","0x8","0x12","0x3","0x18","1","3","0x1","0x3","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x12","0x1c","0x2e","0x3","0x38","3","3","0x3","0x3","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x1d","0x32","0x3","0x8","5","3","0x5","0x3","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0xd","0x18","0x3","0x10","2","4","0x2","0x4","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x3","0x2","0x0","0x8","3","4","0x3","0x4","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x17","0x13","0x20","0x3","0x8","1","1","0x1","0x1","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0x17","0x28","0x3","0x8","2","2","0x2","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x19","0x18","0x28","0x3","0x8","4","2","0x4","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x8","0x12","0x3","0x18","1","3","0x1","0x3","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
