"0xcc6058","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x3","0x2","0x0","0x8","12","0","0xc","0x0","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1","0x18","0x28","0x3","0x8","14","0","0xe","0x0","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x2","0xd","0x18","0x3","0x8","13","0","0xd","0x0","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x17","0x28","0x3","0x8","14","5","0xe","0x5","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x5","0x1d","0x32","0x3","0x8","13","3","0xd","0x3","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0xcd","0x51","0x0","0xa","14","4","0xe","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x94","0x39","0x0","0x44","14","13","0xc","0xb","0x20","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x9","0x96","0x39","0x94","0x15","14","13","0xd","0xc","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x98","0x18","0x94","0xd","14","13","0xc","0xd","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0xc","0x96","0x39","0x94","0xd","7","13","0x7","0xb","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xd","0x97","0xa","0x94","0xd","0","13","0x1","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xe","0x97","0xa","0x94","0x15","0","5","0x1","0x5","0x1","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0xf","0x98","0x18","0x94","0xd","0","13","0x1","0x9","0x2c","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x10","0x96","0x39","0x94","0xd","7","13","0x4","0xb","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x11","0x96","0x39","0x94","0x15","0","5","0x0","0x3","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x12","0x96","0x39","0x94","0x15","7","13","0x6","0xd","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x13","0x96","0x39","0x94","0xd","7","13","0x8","0xa","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x14","0x96","0x39","0x94","0x1d","14","13","0x9","0xd","0x1f","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x15","0xed","0x39","0x94","0x15","14","0","0xe","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x8","0x12","0x94","0x1c","14","9","0xe","0x9","0x28","0x6b","0x0","0x0","0xa","0x0","0x1","0x0"
"0x18","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x96","0xa","0x94","0xd","14","0","0xe","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1a","0x97","0x39","0x94","0x15","1","13","0x1","0xd","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x9e","0x48","0x0","0xb","7","3","0x7","0x3","0x0","0x0","0x0","0x0","0x6","0x3","0x1","0x0"
"0x1d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x9b","0x39","0x94","0xd","14","13","0xe","0xc","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
