"0xcd2734","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x1","0x0","0x71","17","2","0x11","0x2","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x1b","0x2c","0x0","0x49","13","1","0xd","0x1","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0x2","0x30","0x28","0x0","0x89","14","1","0xe","0x1","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x31","0x32","0x0","0x61","18","1","0x12","0x1","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x16","0x24","0x0","0x49","19","1","0x13","0x1","0x44","0x45","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2d","0x2","0x0","0x59","14","2","0xe","0x2","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x3","0x0","0x69","18","2","0x12","0x2","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x7","0x23","0x3c","0x0","0x41","13","3","0xd","0x3","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x6","0xe","0x0","0x21","19","3","0x13","0x3","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x8","0x12","0x0","0x29","18","4","0x12","0x4","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x22","0x3b","0x1","0x20","15","2","0xf","0x2","0x29","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x1","0x1","0x0","0x71","18","2","0x12","0x2","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x1b","0x2c","0x0","0x49","19","1","0x13","0x1","0x4a","0x4b","0x4f","0x6b","0x0","0x0","0x0","0x0"
"0xe","0x30","0x28","0x0","0x89","19","3","0x13","0x3","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xf","0x31","0x32","0x0","0x61","17","3","0x11","0x3","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x10","0x16","0x24","0x0","0x49","13","1","0xd","0x1","0x44","0x45","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x2d","0x2","0x0","0x59","15","3","0xf","0x3","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x12","0x2","0x3","0x0","0x69","13","3","0xd","0x3","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x13","0x23","0x3c","0x0","0x41","14","2","0xe","0x2","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x3b","0x43","0x0","0x55","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x16","0x73","0x1e","0x3b","0x2d","18","14","0x12","0xe","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
